ahkr201,Praksis i arbeidslivet
ahkr202,Digitalisering av kulturarven: Teoretisk innføring og praktisk utprøving
ahkr203,Innføring i miljøhumaniora
ahkr210,Antikkens Roma
ahkr215,Antikkens Roma
ahkr300,Forskingsetikk
ahkr391,Forskingsfordjupning etter mastergrad
ahkr392,Historieformidling etter mastergrad
ahs202-f,"Erfaring, kunnskap og profesjon "
ahs203-f,"Virksomhet, profesjon, samfunn "
aiki100,Innføring i kunstig intelligens
aiki110,Kunstige agentar
aiki200,Bacheloroppgåve i kunstig intelligens
aiki210,Etikk i kunstig intelligens
aktua399,Masteroppgave i aktuarfag
allv100,Innføringsemne i litteraturvitskap
allv111,Allmenn litteraturvitskap: Litteratur frå antikken til mellomalder/renessanse
allv112,Allmenn litteraturvitskap: Eldre litteratur og poetikk frå mellomalder/renessanse til opplysingstida/romantikken
allv113,Allmenn litteraturvitskap: Moderne litteratur og poetikk frå opplysingstida/romantikken til i dag
allv114,Allmenn litteraturvitskap: Moderne litteraturteori
allv201,Allmenn litteraturvitskap: Litteraturvitskapleg fordjupingsemne I
allv202,Allmenn litteraturvitskap: Litteraturvitskapleg fordjupingsemne II
allv203,Allmenn litteraturvitskap: Litteraturvitskapleg fordjupingsemne III
allv221,Litteraturteori
allv250,Litteraturvitskapleg bacheloroppgåve
allv300,Litteraturvitskapleg tolkings- og metodelære
allv302,Litteraturvitskapleg tolkings- og metodelære
allv303,Litteraturvitskapleg særemne I
allv304,Litteraturvitskapleg særemne II
allv305,Litteraturvitskapleg særemne V
allv306,Litteraturvitskapleg særemne III
allv307,Litteraturvitskapleg særemne IV
allv350,Allmenn litteraturvitskap mastergradsoppgåve
ant202,Antikkens litteratur
aorg350,Masteroppgåve i administrasjon og organisasjonsvitskap
aorg351,Master's Thesis in Public Administration
aorg602,"Organisering, læring og endring"
aorg660,Styring gjennom tillit og samordning
aorg662,Organisasjonsanalyse og metode
ara100,Innføringskurs i arabisk språk og kultur
ara111,Grunnkurs i moderne standardarabisk I
ara112,Grunnkurs i moderne standardarabisk II
ara113,Grunnkurs i moderne standardarabisk III
ara115,Innføring i arabisk språkvitskap og dialektologi
ara211,Tekststudiar i klassisk og moderne standardarabisk
ara621,Arabisk språk og kultur 
ara622,Grunnkurs i moderne standardarabisk
ark100,Innføring i arkeologi
ark110,"Menneske, utvikling og samfunn: frå dei første menneska til slutten av bronsealderen ca. 500 f.Kr."
ark111,Arkeologien av jeger- og sankarsamfunn
ark112,Bronsealderarkeologi
ark113,Tema i neolittisk arkeologi
ark114,Aktuelle tema i arkeologi
ark120,"Middelhavet, Nord-Europa og Norden frå ca. 500 f.Kr. til 1500 e.Kr."
ark121,Fordjuping i Middelalder og tidleg moderne arkeologi
ark122,Fordjuping i skandinavisk jernalder 
ark123,Innføring i romersk arkeologi 
ark124,Landskap og miljø i arkeologi
ark125,Bioarkeologi
ark140,"Middelhavet, Nord-Europa og Norden frå ca. 500 f.Kr. til 1500 e.Kr."
ark141,"Materialkurs 2: Middelhavet, Nord-Europa og Norden frå ca. 500 f.Kr. til 1500 e.Kr."
ark200,Feltarkeologi
ark205,Arkeologisk praksis: praksisprosjekt
ark210,Teori og metode i arkeologi
ark212,Urbane studiar i arkeologi
ark213,Fordjuping i arkeologisk teori og metode (2)
ark214,Digitale metodar i arkeologi
ark215,Fordjuping i prehistorisk arkeologi
ark216,Utgravingsmetoder
ark250,Bacheloroppgåve i arkeologi
ark303,Prosjektskildring
ark304,Spesialemne knytt til mastergrad i arkeologi
ark305,Teori og metode
ark307,Arkeologisk praksis
ark308,Kulturminne og forvalting
ark350,Arkeologi mastergradsoppgåve 
art100,Kunstpraksis 1 - introduksjon
art111,Kunstpraksis 2
art200,Kunstpraksis 3
art210,Kunstpraksis 4
art221,Kunstpraksis 5
